algo,instance,seed,best,gap,time
GA,att48,13,10628.0,0.0,10.020874977111816
GA,att48,14,10628.0,0.0,10.10465407371521
GA,att48,15,10628.0,0.0,10.02392029762268
GA,att48,16,10628.0,0.0,10.046447038650513
GA,att48,17,10628.0,0.0,10.163353681564331
GA,att48,18,10628.0,0.0,10.132020235061646
GA,att48,19,10628.0,0.0,10.054776668548584
GA,att48,20,10628.0,0.0,10.000234127044678
GA,att48,21,10628.0,0.0,10.133117198944092
GA,att48,22,10628.0,0.0,10.05955457687378
GA,att48,23,10628.0,0.0,10.125573873519897
GA,att48,24,10628.0,0.0,10.113903284072876
GA,att48,25,10628.0,0.0,10.114799499511719
GA,att48,26,10628.0,0.0,10.044233560562134
GA,att48,27,10628.0,0.0,10.192948579788208
GA,att48,28,10628.0,0.0,10.107597827911377
GA,att48,29,10628.0,0.0,10.010472536087036
GA,st70,0,680.0,0.7407407407407408,10.342291355133057
GA,st70,1,680.0,0.7407407407407408,10.141102313995361
GA,st70,2,682.0,1.037037037037037,10.203308820724487
GA,st70,3,681.0,0.8888888888888888,10.060392379760742
GA,st70,4,675.0,0.0,10.282281637191772
GA,st70,5,682.0,1.037037037037037,10.122758626937866
GA,st70,6,675.0,0.0,10.069595336914062
GA,st70,7,681.0,0.8888888888888888,10.092566728591919
GA,st70,8,675.0,0.0,10.180859088897705
GA,st70,9,682.0,1.037037037037037,10.034370422363281
GA,st70,10,675.0,0.0,10.276560306549072
GA,st70,11,681.0,0.8888888888888888,10.440773487091064
GA,st70,12,680.0,0.7407407407407408,10.380734920501709
GA,st70,13,680.0,0.7407407407407408,10.0038423538208
GA,st70,14,677.0,0.2962962962962963,10.018584966659546
GA,st70,15,676.0,0.14814814814814814,10.110204935073853
GA,st70,16,677.0,0.2962962962962963,10.229406833648682
GA,st70,17,684.0,1.3333333333333335,10.258471727371216
GA,st70,18,681.0,0.8888888888888888,10.257883071899414
GA,st70,19,675.0,0.0,10.175488710403442
GA,st70,20,675.0,0.0,10.070617198944092
GA,st70,21,678.0,0.4444444444444444,10.088492155075073
GA,st70,22,678.0,0.4444444444444444,10.212721824645996
GA,st70,23,675.0,0.0,10.25095009803772
GA,st70,24,680.0,0.7407407407407408,10.262587070465088
GA,st70,25,677.0,0.2962962962962963,10.09462571144104
GA,st70,26,680.0,0.7407407407407408,10.093079805374146
GA,st70,27,676.0,0.14814814814814814,10.091652870178223
GA,st70,28,676.0,0.14814814814814814,10.185349702835083
GA,st70,29,675.0,0.0,10.03404951095581
ACO,berlin52,0,7542.0,0.0,10.073071718215942
ACO,berlin52,1,7542.0,0.0,10.053475141525269
ACO,berlin52,2,7542.0,0.0,10.030864715576172
ACO,berlin52,3,7542.0,0.0,10.058382511138916
ACO,berlin52,4,7542.0,0.0,10.07016396522522
ACO,berlin52,5,7542.0,0.0,10.045542240142822
ACO,berlin52,6,7542.0,0.0,10.066358089447021
ACO,berlin52,7,7542.0,0.0,10.042641401290894
ACO,berlin52,8,7542.0,0.0,10.02426791191101
ACO,berlin52,9,7542.0,0.0,10.0262930393219
ACO,berlin52,10,7542.0,0.0,10.08109974861145
ACO,berlin52,11,7542.0,0.0,10.026816606521606
ACO,berlin52,12,7542.0,0.0,10.00235891342163
ACO,berlin52,13,7542.0,0.0,10.022162437438965
ACO,berlin52,14,7542.0,0.0,10.039668321609497
ACO,berlin52,15,7542.0,0.0,10.02249789237976
ACO,berlin52,16,7542.0,0.0,10.012471437454224
ACO,berlin52,17,7542.0,0.0,10.044576406478882
ACO,berlin52,18,7542.0,0.0,10.03276252746582
ACO,berlin52,19,7542.0,0.0,10.018173456192017
ACO,berlin52,20,7542.0,0.0,10.022552967071533
ACO,berlin52,21,7542.0,0.0,10.051539182662964
ACO,berlin52,22,7542.0,0.0,10.02229928970337
ACO,berlin52,23,7542.0,0.0,10.032583951950073
ACO,berlin52,24,7542.0,0.0,10.004655122756958
ACO,berlin52,25,7542.0,0.0,10.01386284828186
ACO,berlin52,26,7542.0,0.0,10.005709886550903
ACO,berlin52,27,7542.0,0.0,10.0250723361969
ACO,berlin52,28,7542.0,0.0,10.031965017318726
ACO,berlin52,29,7542.0,0.0,10.0282621383667
ACO,eil51,0,428.0,0.4694835680751174,10.048723220825195
ACO,eil51,1,428.0,0.4694835680751174,10.011415243148804
ACO,eil51,2,428.0,0.4694835680751174,10.032683610916138
ACO,eil51,3,429.0,0.7042253521126761,10.024832010269165
ACO,eil51,4,428.0,0.4694835680751174,10.023501873016357
ACO,eil51,5,429.0,0.7042253521126761,10.058194398880005
ACO,eil51,6,427.0,0.2347417840375587,10.024083852767944
ACO,eil51,7,428.0,0.4694835680751174,10.03076958656311
ACO,eil51,8,427.0,0.2347417840375587,10.025684833526611
ACO,eil51,9,426.0,0.0,10.040395736694336
ACO,eil51,10,427.0,0.2347417840375587,10.026215076446533
